id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,['documentation'],['US'],1,,,,0.601,
tm82169,Rocky,MOVIE,1976,PG,119,"['drama', 'sport']",['US'],,tt0075148,8.1,588100,106.361,7.782
tm17823,Grease,MOVIE,1978,PG,110,"['romance', 'comedy']",['US'],,tt0077631,7.2,283316,33.16,7.406
tm191099,The Sting,MOVIE,1973,PG,129,"['crime', 'drama', 'comedy', 'music']",['US'],,tt0070735,8.3,266738,24.616,8.02
tm69975,Rocky II,MOVIE,1979,PG,119,"['drama', 'sport']",['US'],,tt0079817,7.3,216307,75.699,7.246
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['fantasy', 'comedy']",['GB'],,tt0071853,8.2,547292,20.964,7.804
tm17249,Animal House,MOVIE,1978,R,109,['comedy'],['US'],,tt0077975,7.4,123611,17.372,7.02
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4,tt0063929,8.8,75654,24.773,8.258
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],,tt0079470,8,405022,19.787,7.762
tm16479,White Christmas,MOVIE,1954,,120,"['comedy', 'music', 'romance']",['US'],,tt0047673,7.5,46586,11.598,7.2
tm91699,Heroes,MOVIE,1977,PG,112,"['drama', 'comedy', 'romance']",['US'],,tt0076138,6,1883,7.869,6.5
tm12775,Play Misty for Me,MOVIE,1971,R,102,"['drama', 'thriller']",['US'],,tt0067588,6.9,29706,10.964,6.612
tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'comedy', 'crime']",['EG'],,tt0051390,7.5,4878,7.372,7.4
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0284692,8.1,5141,7.266,7.432
tm16812,Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",['IN'],,tt1219315,4.8,37,1.862,6
tm75975,Prince,MOVIE,1969,,152,['romance'],['IN'],,tt0064842,6.8,199,2.45,7
tm156453,FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],,tt0068562,6.4,433,2.062,6.1
